STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
0	37247665	0	BIO	SHARE	REGS	2018-09-11 15:03:48.599	1	0.327000	10000	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-12 00:00:13.649	system	system		0	0	0	3	1003175	10000	0	0	0.000000	0.000000	12			72/out of term	0	230221208	-115	N	-115	N	N
1	37252208	0	BIO	SHARE	REGS	2018-09-12 14:00:19.487	1	0.330000	10000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 14:00:19.487	UK8GW3	192.168.252.2		136477	0	0	3	1003175	10000	0	0	0.000000	0.000000	0				0	230351499	-115	N	-115	N	N
0	37232700	0	BIO	SHARE	REGS	2018-09-06 12:07:58.798	2	0.340000	126000	2	0	0	0	0	1	0.000000	1	1	0	16765263	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 12:45:34.184	UK8GW3	192.168.252.2		0	0	0	3	4535	126000	126000	126000	0.340000	0.340000	2				0	230323228	-42	N	-42	N	N
0	37253530	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 18:14:36.02	2	3.040000	2000	1	20180912	0	0	0	1	0.000000	1	1	0	16766300	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 18:14:44.72	UK8GW3	192.168.252.2		0	0	0	3	1031634	2000	2000	2000	3.040000	3.040000	2				0	230534198	0	N	3	N	N
1	37252965	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 16:32:14.759	2	3.280000	500	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 16:32:14.759	UK8GW3	192.168.252.2		136530	0	0	3	1031634	500	0	0	0.000000	0.000000	0				0	230424913	0	N	3	N	N
0	37196836	0	BKDOWTS53	STR-PRD	RGSP	2018-09-04 17:40:32.907	1	2.000000	25	3	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-12 00:00:13.061	system	system		0	0	0	3	1032905	25	0	0	0.000000	0.000000	12			72/out of term	0	230220611	0	N	3	N	N
1	37252977	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 16:34:04.72	2	3.250000	1000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 16:34:04.72	UK8GW3	192.168.252.2		136531	0	0	3	1031634	1000	0	0	0.000000	0.000000	0				0	230427011	0	N	3	N	N
0	37252965	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 16:32:14.759	2	3.280000	490	1	20180912	0	0	0	1	0.000000	1	1	0	16765889	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 16:32:15.505	UK8GW3	192.168.252.2		0	0	0	3	1031634	500	500	490	3.280000	3.280000	2				0	230424930	0	N	3	N	N
1	37252965	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 16:32:14.759	2	3.280000	490	1	20180912	0	0	0	1	0.000000	1	1	0	16765888	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 16:32:14.76	UK8GW3	192.168.252.2		0	0	0	3	1031634	500	10	10	3.280000	3.280000	1				0	230424915	0	N	3	N	N
1	37253101	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 17:04:33.33	2	3.150000	1000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 17:04:33.33	UK8GW3	192.168.252.2		136548	0	0	3	1031634	1000	0	0	0.000000	0.000000	0				0	230459626	0	N	3	N	N
